title,author,current_price,original_price,discount_percent,rating,review_count,format,isbn,availability,bestseller_rank,category,product_url,image_url,scraped_at
The Nightingale,Kristin Hannah,14.99,17.99,16.68,4.9,363,Paperback,9781250080400,Out of Stock,,Awards | Fiction | Fiction Subjects | Historical Fiction | Women's Fiction | Family & Friendship - Fiction | World War II - Historical Fiction | Women - Families | Sisters - Fiction | Reese's Book Club Picks 2023 | Book Club Selections | Reese Witherspoon's Book Club | Hi-Lo Fiction,https://www.barnesandnoble.com/w/the-nightingale-kristin-hannah/1119169484?ean=9781250080400,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781250080400_p0.jpg?v=1765207806,2026-08-12T19:34:23+00:00
"The Summer Hikaru Died, Vol. 1",Mokumokuren,15.0,,,4.9,27,Paperback,9781975360542,Out of Stock,,Graphic Novels & Comics - Manga | Manga | Horror Manga | School Life Manga,https://www.barnesandnoble.com/w/the-summer-hikaru-died-vol-1-mokumokuren/1142973723?ean=9781975360542,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781975360542_p0.jpg?v=1764946554,2026-08-12T19:34:23+00:00
The Housemaid,Freida McFadden,18.99,,,4.6,165,Paperback,9781538742570,Out of Stock,,Mystery & Thrillers | Thrillers | Domestic Thrillers | Thriller Award Winners for Best Paperback Original (2006-2024) | 2023 Thriller Award Winners | Mystery & Thriller Book Awards | Thriller Awards | Thriller Award Winners by Category | All Thriller Award Winners | Previous Thriller Award Nominees | 2023 Thriller Award Nominees,https://www.barnesandnoble.com/w/the-housemaid-freida-mcfadden/1142009317?ean=9781538742570,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781538742570_p0.jpg?v=1772425356,2026-08-12T19:34:23+00:00
Spooky Cutie: Coloring Book for Adults and Kids,Coco Wyo,9.99,,,,,Paperback,9798217232789,Out of Stock,,Kids | Games & Activities - Kids | Fiction & Literature - Kids | Coloring Books - Kids | Activity Books - Kids Fiction | Fantasy coloring books->Kids | Coloring books->Children's fiction,https://www.barnesandnoble.com/w/spooky-cutie-coco-wyo/1150127504?ean=9798217232789,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9798217232789_p0.jpg?v=1773203790,2026-08-12T19:34:23+00:00
East of Eden,John Steinbeck,25.0,,,4.6,36,Paperback,9780142004234,Out of Stock,,Awards | Fiction | Literature | Movie & TV Tie-Ins | Fiction Subjects | American Fiction | Books at the Movies | Family & Friendship - Fiction | Literary Fiction | Historical Fiction | Conflicts - Fiction | Character Types - Fiction | 20th Century American Fiction | Fiction & Literature Classics | General Fiction - Books at the Movies | Family Sagas - Fiction | Fathers & Sons - Fiction | Multigenerational Sagas | Rivalries - Fiction | Brothers - Fiction | Femmes Fatales - Fiction | 20th Century American Fiction - 1945-2000 | American Fiction & Literature Classics | Oprah's Book Club->2003 | Books by Nobel Prize in Literature Laureates->1961-1970 | Book Club Selections | Oprah's Book Club | Nobel Prizes | Nobel Prize in Literature,https://www.barnesandnoble.com/w/east-of-eden-john-steinbeck/1100594195?ean=9780142004234,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780142004234_p0.jpg?v=1768988972,2026-08-12T19:34:23+00:00
Sing the 50 United States!,Dr. Seuss,16.99,19.99,15.01,4.9,8,Hardcover,9798217228560,Out of Stock,,Kids | Social Studies - Kids | Games & Activities - Kids | Holidays & Festivals - Kids | United States People & Places - Kids | Miscellaneous U.S. People & Places - Kids | Travel - Kids | U.S. Holidays - Kids,https://www.barnesandnoble.com/w/sing-the-50-united-states-dr-seuss/1148595673?ean=9798217228560,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9798217228560_p0.jpg?v=1768967823,2026-08-12T19:34:23+00:00
The Last Letter,Rebecca Yarros,15.99,,,4.7,87,Paperback,9781640635333,Out of Stock,,Romance | Romantic Fiction Themes | Contemporary Romance | Military Romance | Contemporary Romance - General,https://www.barnesandnoble.com/w/the-last-letter-rebecca-yarros/1128573131?ean=9781640635333,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781640635333_p0.jpg?v=1764957382,2026-08-12T19:34:23+00:00
Fourth Wing,Rebecca Yarros,17.99,20.99,14.29,4.6,426,Paperback,9781649377371,Out of Stock,177536,Science Fiction & Fantasy | Romance | Fantasy Fiction | Paranormal Romance | Epic Fantasy | Fantasy Romance | Fantasy - Women of Lore | Barnes & Noble's Best Fantasy Books of 2023 | 2023 Barnes & Noble Book of the Year Finalists | 2024 Alex Award Winners | Best Books of the Year | Best Books of the Year 2023 | Barnes & Noble's Best Books of 2023 | Barnes & Noble Book of the Year | Previous Barnes & Noble Book of the Year | 2023 Barnes & Noble Book of the Year | Teen Book Awards | Alex Awards | Previous Winners - Alex Awards,https://www.barnesandnoble.com/w/fourth-wing-rebecca-yarros/1142297916?ean=9781649377371,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781649377371_p0.jpg?v=1766428763,2026-08-12T19:34:23+00:00
"The Goal (Off-Campus, #4)",Elle Kennedy,16.99,18.99,10.53,4.0,7,Paperback,9781775293965,Out of Stock,,Romance | Contemporary Romance | Other Romance Categories | Other Contemporary Romance | Sports Romance | Romance - New Adult,https://www.barnesandnoble.com/w/the-goal-elle-kennedy/1124458795?ean=9781775293965,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781775293965_p0.jpg?v=1779141991,2026-08-12T19:34:23+00:00
Atmosphere: A Love Story (GMA Book Club Pick),Taylor Jenkins Reid,17.0,20.0,15.0,4.6,30,Paperback,9780593158739,Out of Stock,,"Fiction | Literature | Awards | Fiction Subjects | Literary Fiction | Women's Fiction | Historical Fiction | Science & Technology - Fiction | LGBT Fiction | Love & Relationships - Fiction | Women - General & Miscellaneous - Fiction | Multigenerational Sagas | Astronauts & Space - Fiction | Lesbian Love, Romance & Relationships | Relationships - Fiction | Book Club Selections | Good Morning America Book Club | Good Morning America Book Club Picks 2025 | Best Books of the Year | Best Books of the Year 2025 | Barnes & Noble's Best Books of 2025 | Barnes & Noble's Best Fiction of 2025 | People Magazine's Best Books of 2025 | People Magazine's 15 Best Books of 2025 | USA Today's Best Books of 2025 | USA Today's Top 15 Books of 2025",https://www.barnesandnoble.com/w/atmosphere-taylor-jenkins-reid/1146489330?ean=9780593158739,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780593158739_p0.jpg?v=1778266824,2026-08-12T19:34:23+00:00
Cozy Friends: Coloring Book for Adults and Kids,Coco Wyo,9.99,,,,,Paperback,9798217232772,Out of Stock,,Kids | Fiction & Literature - Kids | Animals - Kids Fiction | Activity Books - Kids Fiction | General & Miscellaneous Animals - Kids Fiction | Activity books->General & Miscellaneous->Children's fiction | Coloring books->Children's fiction,https://www.barnesandnoble.com/w/cozy-friends-coco-wyo/1150127536?ean=9798217232772,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9798217232772_p0.jpg?v=1768971835,2026-08-12T19:34:23+00:00
Binding 13 (Standard Edition),Chloe Walsh,19.99,,,4.4,35,Paperback,9781464277061,Out of Stock,,Romance | Fiction | Fiction Subjects | Contemporary Romance | Contemporary Romance - General | Hi-Lo Fiction,https://www.barnesandnoble.com/w/binding-13-chloe-walsh/1143428727?ean=9781464277061,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781464277061_p0.jpg?v=1785468966,2026-08-12T19:34:23+00:00
Cozy Corner: Coloring Book for Adults and Kids,Coco Wyo,8.99,,,5.0,3,Paperback,9798217116867,Out of Stock,,Kids | Fiction & Literature - Kids | Animals - Kids Fiction | Activity Books - Kids Fiction | General & Miscellaneous Animals - Kids Fiction | Activity books->General & Miscellaneous->Children's fiction | Coloring books->Children's fiction,https://www.barnesandnoble.com/w/cozy-corner-coco-wyo/1150127513?ean=9798217116867,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9798217116867_p0.jpg?v=1765253182,2026-08-12T19:34:23+00:00
Jujutsu Kaisen 0,Gege Akutami,11.99,,,4.1,15,Paperback,9781974720149,Out of Stock,,Graphic Novels & Comics - Manga | Manga | Action & Adventure Manga | Fantasy Manga | Shonen - General & Miscellaneous,https://www.barnesandnoble.com/w/jujutsu-kaisen-0-gege-akutami/1137300517?ean=9781974720149,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781974720149_p0.jpg?v=1764932488,2026-08-12T19:34:23+00:00
Golden Son (Red Rising Series #2),Pierce Brown,18.0,21.0,14.29,4.6,17,Paperback,9780345539830,Out of Stock,,Science Fiction & Fantasy | Fiction | Fiction Subjects | Social Science Fiction | Settings & Atmosphere - Fiction | Science Fiction - Societies & Cultures | Utopias/Dystopias - Fiction | Hi-Lo Fiction,https://www.barnesandnoble.com/w/golden-son-pierce-brown/1118476760?ean=9780345539830,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780345539830_p0.jpg?v=1764921602,2026-08-12T19:34:23+00:00
Between Two Fires,Christopher Buehlman,26.99,29.99,10.0,4.4,21,Hardcover,9781250439208,Out of Stock,,Science Fiction & Fantasy | Fiction | Fantasy Fiction | Horror | Historical Fantasy | Dark Fantasy | Supernatural Horror,https://www.barnesandnoble.com/w/between-two-fires-christopher-buehlman/1108799136?ean=9781250439208,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781250439208_p0.jpg?v=1768984038,2026-08-12T19:34:23+00:00
"Jujutsu Kaisen, Vol. 2",Gege Akutami,11.99,,,4.9,10,Paperback,9781974710034,Out of Stock,,Graphic Novels & Comics - Manga | Manga | Action & Adventure Manga | Fantasy Manga | Shonen - General & Miscellaneous,https://www.barnesandnoble.com/w/jujutsu-kaisen-vol-2-gege-akutami/1132292916?ean=9781974710034,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781974710034_p0.jpg?v=1764932337,2026-08-12T19:34:23+00:00
Rites of the Starling (Shield of Sparrows Series #2),Devney Perry,27.99,32.99,15.16,4.9,45,Hardcover,9781682816752,Out of Stock,,Science Fiction & Fantasy | Romance | Fantasy Fiction | Paranormal Romance | Epic Fantasy | Fantasy Romance,https://www.barnesandnoble.com/w/rites-of-the-starling-devney-perry/1148334932?ean=9781682816752,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781682816752_p0.jpg?v=1776112930,2026-08-12T19:34:23+00:00
Heated Rivalry (Game Changers #2),Rachel Reid,18.99,,,4.6,67,Paperback,9781335534637,Out of Stock,,Romance | Fiction | Contemporary Romance | LGBT Fiction | Sports Romance | Gay Romance | LGBTQ+ Romance,https://www.barnesandnoble.com/w/heated-rivalry-rachel-reid/1129486546?ean=9781335534637,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781335534637_p0.jpg?v=1773700429,2026-08-12T19:34:23+00:00
Sea of Charms: A Spellshop Novel,Sarah Beth Durst,26.99,29.99,10.0,4.7,63,Hardcover,9781250400673,Out of Stock,,Romance | Science Fiction & Fantasy | Romantic Fiction Themes | Paranormal Romance | Fantasy Fiction | Romantic Comedy | Fantasy Romance | Cozy Fantasy,https://www.barnesandnoble.com/w/sea-of-charms-sarah-beth-durst/1149268221?ean=9781250400673,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781250400673_p0.jpg?v=1782309562,2026-08-12T19:34:23+00:00
To Kill a Mockingbird (Pulitzer Prize Winner),Harper Lee,16.99,,,4.6,153,Paperback,9780060935467,Out of Stock,,Fiction | Literature | Awards | Literary Fiction | 1961 Pulitzer Prize Winners | 1961-1970->Fiction->Pulitzer Prize | Pulitzer Prizes | All Winners - Pulitzer Prizes | Fiction Awards | Pulitzer Prize in Fiction | Fiction - Pulitzer Prize Winners,https://www.barnesandnoble.com/w/to-kill-a-mockingbird-harper-lee/1100151011?ean=9780060935467,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780060935467_p0.jpg?v=1768984631,2026-08-12T19:34:23+00:00
Seven and the Swift (Shield of Sparrows Series #3),Devney Perry,27.99,32.99,15.16,,,Hardcover,9781682818251,Pre-Order,,Science Fiction & Fantasy | Romance | Fantasy Fiction | Paranormal Romance | Epic Fantasy | Fantasy Romance,https://www.barnesandnoble.com/w/seven-and-the-swift-devney-perry/1150506265?ean=9781682818251,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781682818251_p0.jpg?v=1783420379,2026-08-12T19:34:23+00:00
The Midnight Library (GMA Book Club Pick),Matt Haig,18.0,,,4.4,112,Paperback,9780525559498,Out of Stock,,"Fiction | Awards | Literature | Fiction Subjects | World Fiction | Literary Styles & Movements - Fiction | Women's Fiction | English, Scottish, & Welsh Fiction | Existential Fiction | Women - Self Realization | English Fiction - 21st Century | Good Morning America Book Club Picks 2020 | Book Club Selections | Good Morning America Book Club",https://www.barnesandnoble.com/w/the-midnight-library-matt-haig/1136586832?ean=9780525559498,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780525559498_p0.jpg?v=1775702386,2026-08-12T19:34:23+00:00
"Hollywood, Ending (Signed Edition)",John Green,27.0,32.0,15.62,,,Paperback,9780525556657,Pre-Order,,"Fiction | Literature | Fiction Subjects | Arts & Entertainment - Fiction | Literary Fiction | Love & Relationships - Fiction | Film, Television & Radio - Fiction | Actors and Actresses - Fiction | Relationships - Fiction",https://www.barnesandnoble.com/w/hollywood-ending-john-green/1149802863?ean=9780525556657,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780525556657_p0.jpg?v=1781578900,2026-08-12T19:34:23+00:00
The Housemaid's Wedding: A Housemaid Novella,Freida McFadden,12.99,,,2.8,11,Paperback,9781628860016,Out of Stock,,Mystery & Thrillers | Fiction | Thrillers | Women's Fiction | Suspense Fiction | Psychological Suspense | Women - General & Miscellaneous - Fiction,https://www.barnesandnoble.com/w/the-housemaids-wedding-freida-mcfadden/1151066097?ean=9781628860016,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781628860016_p0.jpg?v=1770856516,2026-08-12T19:34:23+00:00
"The Legacy (Off-Campus, #5)",Elle Kennedy,16.99,18.99,10.53,4.5,2,Paperback,9781990101069,Out of Stock,,Romance | Contemporary Romance | Other Romance Categories | Sports Romance | Romance - New Adult,https://www.barnesandnoble.com/w/the-legacy-elle-kennedy/1139126930?ean=9781990101069,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781990101069_p0.jpg?v=1779142007,2026-08-12T19:34:23+00:00
The Art of Gravity Falls (B&N Exclusive Edition),Alex Hirsch,55.0,,,5.0,17,BN Exclusive (Hardcover),9781368119399,Pre-Order,,"Art, Architecture & Photography | Music, Film & Performing Arts | Social Sciences | Art - Fashion, Decorative Arts & Design | Art - History & Criticism | Television | Social Sciences - General & Miscellaneous | Graphic Arts & Book Design | Art by Subjects | Popular Culture Studies | Graphic Design - General & Miscellaneous | Popular Culture Art | Television Programs - General & Miscellaneous | Popular Culture - General & Miscellaneous",https://www.barnesandnoble.com/w/the-art-of-gravity-falls-alex-hirsch/1149628941,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781368119399_p0.jpg?v=1772800679,2026-08-12T19:34:23+00:00
The Very Hungry Caterpillar,Eric Carle,10.99,,,4.6,64,Paperback,9780399226908,Out of Stock,,Kids | Fiction & Literature - Kids | Animals - Kids Fiction | Classics for Children - Kids Fiction | General & Miscellaneous Animals - Kids Fiction | Nature - Kids Fiction | Insects - Kids Fiction,https://www.barnesandnoble.com/w/the-very-hungry-caterpillar-eric-carle/1100472822?ean=9780399226908,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780399226908_p0.jpg?v=1768999783,2026-08-12T19:34:23+00:00
1984,George Orwell,19.0,,,4.5,33,Paperback,9780452262935,Out of Stock,,"Science Fiction & Fantasy | Fiction | Literature | Fiction Subjects | World Fiction | Other Science Fiction Categories | Politics & Social Issues - Fiction | Settings & Atmosphere - Fiction | English, Scottish, & Welsh Fiction | Science Fiction Classics | Social Criticism - Fiction | Totalitarian States & Occupied Countries - Fiction | Utopias/Dystopias - Fiction | English Fiction - 20th Century - 1945-2000",https://www.barnesandnoble.com/w/1984-george-orwell/1100009100?ean=9780452262935,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780452262935_p0.jpg?v=1765034679,2026-08-12T19:34:23+00:00
If Cats Disappeared from the World: A Novel,Genki Kawamura,14.99,16.99,11.77,4.3,36,Paperback,9781250257680,Out of Stock,,Fiction | Literature | World Fiction | Fiction Subjects | Japanese Fiction | Animals - Fiction | Literary Styles & Movements - Fiction | 21st Century Japanese Fiction | Cats - Fiction | Magic Realism,https://www.barnesandnoble.com/w/if-cats-disappeared-from-the-world-genki-kawamura/1127834244?ean=9781250257680,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781250257680_p0.jpg?v=1765210462,2026-08-12T19:34:23+00:00
The Five-Star Weekend,Elin Hilderbrand,16.99,19.99,15.01,4.0,17,Paperback,9780316259187,Out of Stock,,Fiction | Fiction Subjects | Phases of Life - Fiction | Women's Fiction | Family & Friendship - Fiction | Middle Age - Fiction | Women of a Certain Age | Women - Between Friends | Friendship - Fiction,https://www.barnesandnoble.com/w/the-five-star-weekend-elin-hilderbrand/1142422496?ean=9780316259187,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780316259187_p0.jpg?v=1780286292,2026-08-12T19:34:23+00:00
The Vanishing Cherry Blossom Bookshop (B&N Exclusive Edition),Takuya Asakura,12.99,,,4.1,28,BN Exclusive (Paperback),9780063568884,Out of Stock,177528,Fiction | Literature | Science Fiction & Fantasy | World Fiction | Fiction Subjects | Japanese Fiction | Literary Styles & Movements - Fiction | Fantasy Fiction | 21st Century Japanese Fiction | Magic Realism | Cozy Fantasy,https://www.barnesandnoble.com/w/the-vanishing-cherry-blossom-bookshop-takuya-asakura/1146982196,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780063568884_p0.jpg?v=1770653251,2026-08-12T19:34:23+00:00
The Mirror of Infinite Endings (B&N Exclusive Edition): A Once Upon a Broken Heart Companion,Stephanie Garber,21.99,,,4.9,16,BN Exclusive (Hardcover),9781250474933,Pre-Order,,Teens & YA | Teen Fiction | Fantasy - Teen Fiction | Romance - Teen Fiction | Dark fantasy->Teen fiction | Romance->Fantasy->Teen fiction,https://www.barnesandnoble.com/w/the-mirror-of-infinite-endings-stephanie-garber/1149447811,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9781250474933_p0.jpg?v=1771613181,2026-08-12T19:34:23+00:00
Strangers: A Memoir of Marriage,Belle Burden,30.0,,,4.6,41,Hardcover,9780593733318,Out of Stock,,Biography | Parenting & Family | Self-Help & Relationships | General & Miscellaneous Biography | Family Issues | Women's Biography | Divorce | Family Memoirs - Biography | Biography - General & Miscellaneous | Women's Biography - General & Miscellaneous | Divorce - General & Miscellaneous | Marriage - Biography,https://www.barnesandnoble.com/w/strangers-belle-burden/1147241871?ean=9780593733318,https://cdn.shopify.com/s/files/1/0674/5433/7265/files/9780593733318_p0.jpg?v=1771991167,2026-08-12T19:34:23+00:00
